"자치구별(1)","자치구별(2)",판매소별(1),판매소별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"합계","강서구",합계,주유소,34,34,34,35,36,36,36,35,34,33,32
"합계","강서구",합계,용제판매소,-,-,-,-,-,-,-,-,-,-,-
"합계","강서구",합계,일반판매소,9,8,8,5,4,2,2,2,2,2,2
"합계","강서구",합계,항공유판매업,5,5,5,5,5,5,6,6,8,8,9
"합계","구로구",합계,소계,48,47,45,37,43,41,38,37,37,37,34
"합계","구로구",합계,주유소,25,25,25,24,23,23,22,22,22,22,21
"합계","구로구",합계,용제판매소,8,7,7,-,7,7,7,7,7,7,4
"합계","구로구",합계,일반판매소,15,15,13,13,13,11,9,8,8,8,9
"합계","구로구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","금천구",합계,소계,29,29,28,25,24,18,18,17,17,17,17
"합계","금천구",합계,주유소,19,19,19,18,18,14,14,13,13,13,12
"합계","금천구",합계,용제판매소,4,4,4,4,3,2,2,2,2,2,3
"합계","금천구",합계,일반판매소,6,6,5,3,3,2,2,2,2,2,2
"합계","금천구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","영등포구",합계,소계,75,71,71,65,59,56,51,48,45,43,39
"합계","영등포구",합계,주유소,45,43,43,40,37,35,34,35,32,32,27
"합계","영등포구",합계,용제판매소,11,10,10,8,8,7,4,3,3,3,3
"합계","영등포구",합계,일반판매소,19,18,18,17,14,14,13,10,10,8,8
"합계","영등포구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,1
"합계","동작구",합계,소계,23,23,21,20,19,19,18,17,16,16,16
"합계","동작구",합계,주유소,15,15,13,12,12,12,12,10,10,10,10
"합계","동작구",합계,용제판매소,2,2,2,2,1,1,1,1,1,1,1
"합계","동작구",합계,일반판매소,6,6,6,6,6,6,5,6,5,5,5
"합계","동작구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","관악구",합계,소계,30,28,25,24,22,21,20,24,18,18,16
"합계","관악구",합계,주유소,23,21,19,19,18,18,18,22,16,16,15
"합계","관악구",합계,용제판매소,1,1,-,-,-,-,-,-,-,-,-
"합계","관악구",합계,일반판매소,6,6,6,5,4,3,2,2,2,2,1
"합계","관악구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","서초구",합계,소계,62,57,55,55,55,53,53,48,46,43,40
"합계","서초구",합계,주유소,46,44,43,42,42,42,41,39,37,36,33
"합계","서초구",합계,용제판매소,7,5,4,5,5,3,4,1,1,1,1
"합계","서초구",합계,일반판매소,9,8,8,8,8,8,8,8,8,6,6
"합계","서초구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","강남구",합계,소계,68,66,63,58,57,55,55,51,49,49,40
"합계","강남구",합계,주유소,50,50,48,47,47,46,46,42,42,41,35
"합계","강남구",합계,용제판매소,9,8,7,5,5,5,5,5,3,4,2
"합계","강남구",합계,일반판매소,8,7,7,5,5,4,4,4,4,4,2
"합계","강남구",합계,항공유판매업,1,1,1,1,-,-,-,-,-,-,1
"합계","송파구",합계,소계,62,59,57,52,51,45,42,39,40,40,40
"합계","송파구",합계,주유소,44,42,40,39,38,34,33,31,32,33,33
"합계","송파구",합계,용제판매소,2,1,1,1,1,-,-,-,-,-,-
"합계","송파구",합계,일반판매소,16,16,16,12,12,11,9,8,8,7,7
"합계","송파구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-,-
"합계","강동구",합계,소계,39,38,36,34,28,27,26,25,23,22,19
"합계","강동구",합계,주유소,25,25,25,24,20,20,19,18,16,16,14
"합계","강동구",합계,용제판매소,1,1,1,1,-,-,-,-,-,-,-
"합계","강동구",합계,일반판매소,13,12,10,9,8,7,7,7,7,6,5
"합계","강동구",합계,항공유판매업,-,-,-,-,-,-,-,-,-,-
